Spending,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
UK defence spending,39902.04727,38940.35964,41589.628,43257.41946,45201.99666,46508.944,49494.58,52291.002,53877.781,54136.111
Real  UK defence spending,40186.37775,38940.35964,40822.72835,41712.62464,42843.20585,43169.60005,43367.79246,45810.46103,44777.78352,42934.30441
UK defence spending as % Real GDP,2.142015725,2.027090067,2.080041971,2.074688416,2.095197328,2.077824538,2.346166134,2.303318759,2.16269104,2.066565212
Nato target % GDP spend,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
Spending,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Equipment,22.82042809,21.75193334,21.23877617,22.29180559,22.24989106,22.85212926,23.82910816,26.12844175,28.06071022,28.59014937
Personnel,36.59486392,36.79870709,35.26851214,34.53945105,33.74643929,34.06971786,33.80051513,31.79807302,30.96185235,30.64178917
Infrastructure,1.950213218,1.634112004,1.871589234,2.251798614,2.990818886,2.11163685,1.722849249,1.486299689,2.045492557,2.529333886
Other,38.63449477,39.81524756,41.62112246,40.91694475,41.01285076,40.96651603,40.64752747,40.58718554,38.93194488,38.23872757
,,,,,,,,,,
Country,DFS%,Target,,,,,,,,
Poland*,3.901121244,2,,,,,,,,
United States,3.492852704,2,,,,,,,,
Greece,3.007404614,2,,,,,,,,
Estonia,2.726643954,2,,,,,,,,
Lithuania*,2.543653957,2,,,,,,,,
Finland,2.449698656,2,,,,,,,,
Romania*,2.440605172,2,,,,,,,,
Hungary,2.426760824,2,,,,,,,,
Latvia*,2.266024033,2,,,,,,,,
United Kingdom,2.066565212,2,,,,,,,,
Slovak Republic,2.028917901,2,,,,,,,,
France,1.904403475,2,,,,,,,,
Montenegro,1.872233735,2,,,,,,,,
North Macedonia,1.86952115,2,,,,,,,,
Bulgaria,1.840827979,2,,,,,,,,
Croatia,1.794867466,2,,,,,,,,
Albania,1.755452367,2,,,,,,,,
Netherlands,1.696017411,2,,,,,,,,
Norway,1.666669668,2,,,,,,,,
Denmark,1.646706432,2,,,,,,,,
Germany,1.567692924,2,,,,,,,,
Czechia,1.504994836,2,,,,,,,,
Portugal,1.479213137,2,,,,,,,,
Italy,1.457079017,2,,,,,,,,
Canada,1.382222511,2,,,,,,,,
Slovenia,1.346864876,2,,,,,,,,
Türkiye,1.312548993,2,,,,,,,,
Spain,1.256795177,2,,,,,,,,
Belgium,1.133793968,2,,,,,,,,
Luxembourg,0.718583225,2,,,,,,,,
NATO target,2,,,,,,,,,
